"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"flash",5.34,6.75,4,5.34,6.75,4,5.34,6.75,4
"doubt",5.18395061728395,4.22466666666667,5.19481481481481,5.02024590163934,4.35558743169399,5.06394808743169,4.79590909090909,4.3869696969697,4.92742424242424
"disbelief",5.33333333333333,3.89,4.94,4.82,4,4.47,4.82,4,4.47
"post",5.1775,3.485,5.395,4.93333333333333,3.42333333333333,5.04666666666667,4.93333333333333,3.42333333333333,5.04666666666667
"pale",5.05,3.58,6.32,5.05,3.58,6.32,5.05,3.58,6.32
"fight",3.54714285714286,5.76,4.77,3.55166666666667,5.67833333333333,4.62666666666667,3.55166666666667,5.67833333333333,4.62666666666667
"know",7.28,4.86,7.2,7.28,4.86,7.2,7.28,4.86,7.2
"chronic",6.1,3.59,5.71,6.1,3.59,5.71,6.1,3.59,5.71
"incantation",5.405,3.875,5.55,5.405,3.875,5.55,5.405,3.875,5.55
"height",5.43666666666667,3.66333333333333,5.65333333333333,5.47,3.566,5.692,5.395,3.785,5.605
"imprint",5.65,2.74,6.67,5.65,2.74,6.67,5.65,2.74,6.67
"brand",5,3.72,5.74,5,3.72,5.74,5,3.72,5.74
"faithful",7.31,3.65,6.8,7.31,3.65,6.8,7.31,3.65,6.8
"castle",5.34857142857143,3.97,5.73571428571429,5.392,4.014,5.85,5.49333333333333,4.11666666666667,6.11666666666667
"rook",5.24,3.86,5.45,5.24,3.86,5.45,5.24,3.86,5.45
"necessitous",3.67,4.67,4,3.67,4.67,4,3.67,4.67,4
"indigent",3.67,4.67,4,3.67,4.67,4,3.67,4.67,4
"junk",3.14,4.15333333333333,4.61333333333333,3.14,4.15333333333333,4.61333333333333,3.14,4.15333333333333,4.61333333333333
"respite",5.50804187688787,3.39407402530062,5.35322216643758,5.51126984126984,3.40377551020408,5.35698412698412,5.5382082324178,3.40154963678899,5.37205811135438
"cease-fire",5.83764705882353,3.58352941176471,5.62941176470588,5.85428571428571,3.56285714285714,5.63142857142856,5.92499999990297,3.4749999999479,5.63999999990982
"ceasefire",5.83764705882353,3.58352941176471,5.62941176470588,5.85428571428571,3.56285714285714,5.63142857142856,5.92499999990297,3.4749999999479,5.63999999990982
"armistice",6.03176470588235,3.34235294117647,5.65294117647059,6.04285714285714,3.32857142857143,5.65428571428571,6.08999999993531,3.26999999996527,5.65999999993988
"take",5.34758870689849,3.85730923931524,5.61451170866741,5.3598403491515,3.83950612785539,5.62282616349271,5.35196678499976,3.86301020832749,5.55233406392884
"go for",5.605,3.66,5.385,5.605,3.66,5.385,5.605,3.66,5.385
"accept",5.39880093468202,4.05491352397075,5.3358755928835,5.38575771906272,4.06375762753234,5.35102330973883,5.39262841456225,4.05922410828338,5.34626013314336
"admit",5.69939393939394,3.24636363636364,5.56090909090909,5.678,3.30333333333333,5.561,5.678,3.30333333333333,5.561
"revolve",5.1734375,3.70171875,5.1940625,5.1425,3.73666666666667,5.17125,5.135,3.81125,5.12875
"donation",6.81769230769231,4.00384615384615,6.75653846153846,6.84625,4.13125,6.733125,6.8725,4.0575,6.70875
"purify",6,3.7,6.53,6,3.7,6.53,6,3.7,6.53
"cleanse",6,3.7,6.53,6,3.7,6.53,6,3.7,6.53
"make clean",6,3.7,6.53,6,3.7,6.53,6,3.7,6.53
"poor",4.31778801843318,4.32838709677419,4.72940092165899,3.90028571428571,4.37414285714286,4.50714285714286,4.0295,4.32733333333333,4.53083333333333
"pine",5.75333333333333,3.13666666666667,5.06,5.34,3.08,5.115,5.34,3.08,5.115
"soaking wet",5.44254237288136,4.79322033898305,5.79813559322034,5.46076923076923,4.81230769230769,5.82692307692308,5.46076923076923,4.81230769230769,5.82692307692308
"drenched",5.44254237288136,4.79322033898305,5.79813559322034,5.46076923076923,4.81230769230769,5.82692307692308,5.46076923076923,4.81230769230769,5.82692307692308
"dripping wet",5.44254237288136,4.79322033898305,5.79813559322034,5.46076923076923,4.81230769230769,5.82692307692308,5.46076923076923,4.81230769230769,5.82692307692308
"sopping wet",5.44254237288136,4.79322033898305,5.79813559322034,5.46076923076923,4.81230769230769,5.82692307692308,5.46076923076923,4.81230769230769,5.82692307692308
"wet",5.20998116760829,4.54967984934087,5.4308286252354,5.24569230769231,4.58707692307692,5.48723076923077,5.24569230769231,4.58707692307692,5.48723076923077
"soppy",5.44254237288136,4.79322033898305,5.79813559322034,5.46076923076923,4.81230769230769,5.82692307692308,5.46076923076923,4.81230769230769,5.82692307692308
"sopping",5.44254237288136,4.79322033898305,5.79813559322034,5.46076923076923,4.81230769230769,5.82692307692308,5.46076923076923,4.81230769230769,5.82692307692308
"enrol",5.76214285714286,4.1325,5.82107142857143,5.8309756097561,4.20926829268293,6.11951219512195,5.802,4.1176,5.828
"aboon",5.9662144094037,2.71228214338592,5.56104713440579,5.93951741913793,2.73990470954095,5.55030285626234,5.93803557994424,2.72887617825375,5.48023808470151
"add together",5.69074074074074,3.65333333333333,6.0437037037037,5.67,3.64,6.015,5.67,3.64,6.015
"convey",5.41018813314038,4.36888567293777,6.10455861070912,5.34847457627119,4.2131186440678,5.92335593220339,5.33014457831325,4.24518072289157,5.90959036144578
"conduct",5.2418206087959,3.5958369937943,5.71277655081067,5.16597842835131,3.67001733436055,5.66152927580894,5.09650821467689,3.85027163198248,5.55449945235487
"choose",5.25085383502171,4.02077977355921,5.62114156805993,5.35033898305085,3.97008474576271,5.74150423728814,5.30440619621343,3.97693631669535,5.75561101549053
"afternoon",5,4.525,4.965,5,4.525,4.965,5,4.525,4.965
