FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
1;2;detection;survey;0,708;0,567;0,538;0,58;0,357;0,379
1;2;detection;investigation;0,708;0,567;0,538;0,531;0,592;0,82
1;2;dictionary;glossary;0,62;0,25;0,598;0,57;0,204;0,447
3;9;dictionary;vocabulary;0,62;0,25;0,598;0,53;0,247;0,585
3;5;dictionary;lexicon;0,62;0,25;0,598;0,561;0,463;0,615
1;2;diffusion;spread;0,356;0,615;0,517;0,57;0,583;0,651
1;2;directive;order;0,604;0,53;0,918;0,78;0,295;0,814
1;2;command;directive;0,427;0,79;0,849;0,604;0,53;0,918
1;2;directive;instruction;0,604;0,53;0,918;0,656;0,434;0,736
1;2;directive;rule;0,604;0,53;0,918;0,567;0,427;0,593
2;6;ailment;disease;0,146;0,734;0,277;0,041;0,539;0,333
2;6;ailment;malady;0,146;0,734;0,277;0,19;0,686;0,304
2;6;ailment;disorder;0,146;0,734;0,277;0,115;0,816;0,218
2;6;ailment;illness;0,146;0,734;0,277;0,098;0,717;0,211
2;6;ailment;sickness;0,146;0,734;0,277;0,094;0,704;0,288
2;6;disease;malady;0,041;0,539;0,333;0,19;0,686;0,304
2;6;illness;malady;0,098;0,717;0,211;0,19;0,686;0,304
2;6;malady;sickness;0,19;0,686;0,304;0,094;0,704;0,288
1;2;chasm;ditch;0,265;0,579;0,5;0,357;0,364;0,322
1;2;ditch;gap;0,357;0,364;0,322;0,396;0,451;0,357
1;2;ditch;fissure;0,357;0,364;0,322;0,333;0,51;0,431
1;2;ditch;gorge;0,357;0,364;0,322;0,365;0,644;0,42
1;2;abyss;ditch;0,353;0,725;0,296;0,357;0,364;0,322
1;2;ditch;precipice;0,357;0,364;0,322;0,198;0,784;0,396
1;3;paper;writing;0,52;0,123;0,293;0,694;0,475;0,645
2;3;dosage;dose;0,344;0,45;0,49;0,458;0,49;0,427
2;3;drought;dryness;0,133;0,353;0,267;0,292;0,296;0,263
2;2;dust;silt;0,344;0,246;0,241;0,51;0,269;0,2
2;2;powder;silt;0,521;0,25;0,194;0,51;0,269;0,2
3;11;cloth;fabric;0,51;0,19;0,287;0,635;0,19;0,345
1;2;dwelling;housing;0,765;0,33;0,481;0,776;0,304;0,591
3;4;apartment;dwelling;0,719;0,393;0,58;0,765;0,33;0,481
1;3;issue;matter;0,316;0,819;0,351;0,487;0,353;0,562
1;3;concern;issue;0,25;0,734;0,463;0,316;0,819;0,351
6;18;economics;economy;0,625;0,481;0,632;0,583;0,434;0,771
2;2;economy;farm;0,583;0,434;0,771;0,781;0,327;0,297
1;4;education;training;0,896;0,275;0,84;0,714;0,776;0,788
2;4;education;upbringing;0,896;0,275;0,84;0,677;0,49;0,6
1;2;effect;influence;0,57;0,518;0,608;0,622;0,663;0,824
1;2;clout;effect;0,584;0,636;0,704;0,57;0,518;0,608
7;14;ball;egg;0,74;0,427;0,317;0,684;0,241;0,293
7;14;egg;testicle;0,684;0,241;0,293;0,458;0,651;0,41
7;14;egg;nut;0,684;0,241;0,293;0,365;0,31;0,25
2;2;employment;occupation;0,75;0,594;0,611;0,562;0,47;0,692
1;2;employment;position;0,75;0,594;0,611;0,604;0,451;0,538
1;2;enforcement;function;0,594;0,571;0,736;0,694;0,296;0,618
2;3;entourage;environment;0,491;0,567;0,467;0,646;0,194;0,528
2;3;environment;environs;0,646;0,194;0,528;0,561;0,288;0,345
2;2;device;equipment;0,562;0,404;0,627;0,745;0,495;0,7
2;2;corrosion;erosion;0,156;0,61;0,348;0,312;0,77;0,465
1;2;ethical;ethics;0,854;0,324;0,634;0,658;0,296;0,731
3;9;appraisal;evaluation;0,417;0,667;0,682;0,542;0,667;0,764
2;2;estimate;evaluation;0,719;0,469;0,517;0,542;0,667;0,764
2;9;assessment;evaluation;0,75;0,623;0,658;0,542;0,667;0,764
1;2;experiment;experimentation;0,479;0,72;0,675;0,637;0,769;0,767
1;2;experiment;test;0,479;0,72;0,675;0,449;0,5;0,509
2;2;blow;explosion;0,316;0,75;0,57;0,167;0,96;0,767
2;2;explode;explosion;0,277;0,885;0,773;0,167;0,96;0,767
