FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
2;6;silly;simpleton;6,72;4,86;6,5;4,53;3,18;4,11
2;6;simple;witless;7,17;2,71;6,5;3;4,39;4,23
2;6;fool;witless;3,56;4,86;2,94;3;4,39;4,23
2;6;chump;witless;4,1;3,95;4,05;3;4,39;4,23
2;6;idiot;witless;3,03;4,85;4,2;3;4,39;4,23
2;6;simpleton;witless;4,53;3,18;4,11;3;4,39;4,23
1;2;sound;voice;6,45;4,14;5,5;6,5;3,25;6,22
1;2;spider;turn;3,35;6,91;3,74;5,45;3,48;5,88
1;2;rotate;spider;5,24;3,35;5;3,35;6,91;3,74
1;2;spider;spin;3,35;6,91;3,74;4,9;3,68;4,92
2;2;fountain;spring;6,26;3,1;5,9;7,64;5,5;5,9
2;3;market;square;6,21;3,55;5,77;5,11;3,33;5,3
2;3;marketplace;square;6,25;4,32;5,81;5,11;3,33;5,3
1;3;default;standard;4,16;4,57;4,7;4,76;3,61;5,14
1;5;condition;country;4,32;4,15;6,53;6,14;3,71;6,35
1;5;condition;nation;4,32;4,15;6,53;6;4,78;4,74
1;2;season;station;6,71;3,2;6,16;5,5;3;4,61
1;3;storm;thunderstorm;5,74;5,86;3,72;5,67;6,1;3,5
1;3;tempest;thunderstorm;4,52;5,26;4,62;5,67;6,1;3,5
2;3;cooker;stove;5,52;3;5,67;5,63;3,82;6,08
1;2;bake;stove;7,2;5;6,83;5,63;3,82;6,08
2;2;stress;suspense;1,79;4,72;3,85;5,26;5,84;4,95
2;2;strain;suspense;3,71;4,78;4,08;5,26;5,84;4,95
1;6;submarine;undersea;6;4,24;4,61;6,38;4,45;3,91
1;5;offer;supply;5,67;3,5;5,44;5,11;3,28;5,24
1;2;bathe;can;7,5;3,15;6,5;6,41;3,14;6,44
1;2;bathe;toilet;7,5;3,15;6,5;3,71;4,5;6,37
