FamilyWeight;LanguageWeight;from_word;to_word
2;2;gnp;gross domestic product
2;2;gdp;gross national product
2;2;gdp;gnp
2;4;groundwater;water table
2;2;groundwater;soil water
1;2;gypsum;plaster
1;2;cast;gypsum
1;3;city;hail
2;4;hazard;risk
4;8;danger;hazard
1;5;bless you;health
2;13;heat;hot
2;13;hot;thermal energy
2;13;heat;warmth
2;13;thermal energy;warmth
2;3;heath;heathland
1;3;alight;land
1;5;herbivore;herbivorous
1;5;herbivorous;plant eater
1;3;high-rise;skyscraper
2;2;highway;road
2;2;highway;route
2;8;horse;knight
1;3;horse;pommel horse
1;2;horse;metric horsepower
1;2;horse;ps
1;2;horse;mechanical horsepower
1;2;brake horsepower;horse
1;2;gardening;horticulture
2;2;cyclone;hurricane
3;8;hydrology;water science
2;7;hydroelectric energy;water power
1;2;hydropower;water power
1;4;ice;ice cream
1;2;ice;ice lolly
2;4;ascent;slope
2;4;ascent;precipice
1;2;slope;tendency
1;2;precipice;tendency
1;2;propensity;slope
1;2;precipice;propensity
1;2;predilection;slope
1;2;precipice;predilection
1;2;proclivity;slope
1;2;precipice;proclivity
1;2;predisposition;slope
1;2;precipice;predisposition
1;2;penchant;slope
1;2;penchant;precipice
1;2;aptness;slope
1;2;aptness;precipice
1;2;proneness;slope
1;2;precipice;proneness
2;2;slope;versant
2;2;precipice;versant
1;2;incorporation;registration
1;4;indigenous forest;primary forest
2;6;indigenous forest;natural forest
2;3;industrial area;industrial site
2;8;industrial medicine;occupational medicine
1;2;industrial plant;whole
3;8;communicable diseases;infectious disease
2;7;dweller;inhabitant
2;7;habitant;inhabitant
2;7;dweller;habitant
1;2;dweller;occupant
2;5;entomophagous;insectivore
1;2;inspection;inspection service
1;2;control;inspection
1;2;check;inspection
1;3;insulating material;sound insulation material
1;3;intermediate product;semimanufactured product
1;2;inversion;temperature inversion
1;2;isle;traffic island
3;7;jurisprudence;law
2;3;laboratory experiment;laboratory test
2;12;lacquer;varnish
2;3;enamel;lacquer
1;2;lak;siar-lak
1;2;lak;siar
1;2;lak;lamassa
1;2;lak;likkilikki
2;2;exhausted;tired
2;2;aweary;exhausted
2;2;exhausted;weary
2;3;bulb;lamp
2;3;bulb;light
2;3;electric bulb;lamp
2;3;electric bulb;light
2;3;lamp;light bulb
2;3;light;light bulb
2;3;lamp;lightbulb
2;3;light;lightbulb
2;3;incandescent lamp;lamp
2;3;incandescent lamp;light
2;3;electric light;lamp
2;3;electric light;light
2;3;electric-light bulb;lamp
2;3;electric-light bulb;light
2;3;incandescent light bulb;lamp
2;3;incandescent light bulb;light
1;3;acre;land
1;2;region;state
1;2;nation;region
1;2;region;sovereign state
1;2;state;territory
1;2;nation;territory
1;2;sovereign state;territory
1;2;state;terrain
1;2;nation;terrain
1;2;sovereign state;terrain
1;3;act;law
1;3;deed;law
1;3;doing;law
1;5;law;right
3;15;feeble;weak
1;2;flushing;leaching
1;2;leaf;letter
1;2;artifice;ruse
1;3;escape;leakage
1;2;flight;leakage
2;4;legal text;statutory text
2;2;legislation;legislative process
1;2;leisure time;recreation
