WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
22;7;21;flow;float;0,696;0,316;0,464;0,688;0,394;0,344
10;6;10;flow;pour;0,696;0,316;0,464;0,448;0,57;0,375
6;3;6;flow;dribble;0,696;0,316;0,464;0,417;0,551;0,465
3;3;3;flow;fly (move through air);0,696;0,316;0,464;0,76;0,775;0,676
5;3;4;flow;swim;0,696;0,316;0,464;0,688;0,461;0,529
5;4;5;flow;sail;0,696;0,316;0,464;0,615;0,22;0,325
6;6;6;flow;leave;0,696;0,316;0,464;0,375;0,315;0,295
3;3;3;flow;retreat;0,696;0,316;0,464;0,5;0,519;0,312
36;12;36;flow;stream (flow continuously);0,696;0,316;0,464;0,449;0,537;0,559
26;15;24;sink (descend);dive;0,375;0,439;0,322;0,583;0,531;0,5
3;3;3;sink (descend);enter;0,375;0,439;0,322;0,708;0,47;0,5
8;6;8;sink (descend);set (heavenly bodies);0,375;0,439;0,322;0,521;0,482;0,63
6;5;6;sink (descend);drown;0,375;0,439;0,322;0,071;0,86;0,27
3;3;3;float;go;0,688;0,394;0,344;0,51;0,441;0,444
93;17;86;float;swim;0,688;0,394;0,344;0,688;0,461;0,529
51;8;47;float;sail;0,688;0,394;0,344;0,615;0,22;0,325
3;3;3;float;bathe;0,688;0,394;0,344;0,677;0,294;0,371
5;3;5;float;fly (move through air);0,688;0,394;0,344;0,76;0,775;0,676
3;3;3;swim;wash;0,688;0,461;0,529;0,635;0,377;0,297
3;3;3;swim;walk;0,688;0,461;0,529;0,643;0,412;0,45
3;3;3;swim;dig;0,688;0,461;0,529;0,367;0,585;0,637
70;6;64;swim;sail;0,688;0,461;0,529;0,615;0,22;0,325
30;13;30;swim;bathe;0,688;0,461;0,529;0,677;0,294;0,371
31;3;31;swim;row;0,688;0,461;0,529;0,427;0,275;0,406
3;3;3;swim;water;0,688;0,461;0,529;0,812;0,123;0,429
23;3;23;sail;row;0,615;0,22;0,325;0,427;0,275;0,406
3;3;3;sail;walk;0,615;0,22;0,325;0,643;0,412;0,45
6;6;6;blow (of wind);shoot;0,316;0,75;0,57;0,092;0,926;0,625
7;5;7;blow (of wind);fly (move through air);0,316;0,75;0,57;0,76;0,775;0,676
50;11;50;blow (of wind);blow (with mouth);0,316;0,75;0,57;0,316;0,75;0,57
3;3;3;blow (of wind);dig;0,316;0,75;0,57;0,367;0,585;0,637
4;3;4;blow (of wind);give;0,316;0,75;0,57;0,75;0,346;0,5
6;4;5;blow (of wind);breath or breathe;0,316;0,75;0,57;0,7585;0,3825;0,4845
32;7;31;blow (of wind);wind;0,316;0,75;0,57;0,531;0,404;0,578
4;4;4;blow (of wind);whistle;0,316;0,75;0,57;0,653;0,551;0,463
5;3;5;blow (of wind);come;0,316;0,75;0,57;0,529;0,269;0,558
4;4;4;kneel;knee;0,426;0,417;0,217;0,52;0,245;0,396
18;6;18;crouch;sit;0,281;0,606;0,312;0,561;0,23;0,368
4;3;4;crouch;bend;0,281;0,606;0,312;0,571;0,324;0,368
10;8;10;jump;run;0,625;0,865;0,611;0,542;0,787;0,543
17;5;17;jump;dance;0,625;0,865;0,611;0,894;0,84;0,551
23;14;23;jump;fly (move through air);0,625;0,865;0,611;0,76;0,775;0,676
3;3;3;jump;splash;0,625;0,865;0,611;0,521;0,412;0,281
4;4;4;jump;flee;0,625;0,865;0,611;0,292;0,796;0,232
4;3;4;kick;shoot;0,271;0,791;0,526;0,092;0,926;0,625
11;7;11;kick;strike or beat;0,271;0,791;0,526;0,275;0,729;0,5315
9;4;9;kick;push;0,271;0,791;0,526;0,417;0,608;0,524
3;3;3;kick;pound;0,271;0,791;0,526;0,57;0,337;0,443
320;39;288;walk;go;0,643;0,412;0,45;0,51;0,441;0,444
18;7;16;walk;come;0,643;0,412;0,45;0,529;0,269;0,558
14;5;12;walk;run;0,643;0,412;0,45;0,542;0,787;0,543
6;4;6;walk;enter;0,643;0,412;0,45;0,708;0,47;0,5
8;5;8;walk;fly (move through air);0,643;0,412;0,45;0,76;0,775;0,676
3;3;3;walk;give;0,643;0,412;0,45;0,75;0,346;0,5
4;3;4;walk;move (oneself);0,643;0,412;0,45;0,656;0,647;0,67
6;4;6;walk;ride;0,643;0,412;0,45;0,806;0,465;0,472
30;10;30;walk;leave;0,643;0,412;0,45;0,375;0,315;0,295
3;3;3;walk;hunt;0,643;0,412;0,45;0,327;0,806;0,588
14;8;14;walk;drive;0,643;0,412;0,45;0,625;0,689;0,713
3;3;3;walk;follow;0,643;0,412;0,45;0,667;0,509;0,6
3;3;3;walk;blood;0,643;0,412;0,45;0,219;0,684;0,585
5;3;5;walk;cut;0,643;0,412;0,45;0,49;0,49;0,393
12;5;11;walk;step (verb);0,643;0,412;0,45;0,531;0,321;0,347
9;3;9;walk;walk (take a walk);0,643;0,412;0,45;0,643;0,412;0,45
74;18;73;limp;lame;0,393;0,44;0,172;0,145;0,41;0,217
84;23;80;run;flee;0,542;0,787;0,543;0,292;0,796;0,232
4;3;4;run;fly (move through air);0,542;0,787;0,543;0,76;0,775;0,676
4;3;3;run;come;0,542;0,787;0,543;0,529;0,269;0,558
6;3;5;run;hurry;0,542;0,787;0,543;0,422;0,735;0,481
6;6;6;run;retreat;0,542;0,787;0,543;0,5;0,519;0,312
3;3;3;run;give;0,542;0,787;0,543;0,75;0,346;0,5
3;3;3;run;ride;0,542;0,787;0,543;0,806;0,465;0,472
4;3;4;run;stream (flow continuously);0,542;0,787;0,543;0,449;0,537;0,559
10;5;10;run;escape;0,542;0,787;0,543;0,367;0,765;0,448
3;3;3;run;sharp;0,542;0,787;0,543;0,459;0,585;0,585
27;14;25;go;come;0,51;0,441;0,444;0,529;0,269;0,558
90;29;86;go;leave;0,51;0,441;0,444;0,375;0,315;0,295
13;4;13;go;ride;0,51;0,441;0,444;0,806;0,465;0,472
