WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
1;1;1;calm;healthy
1;1;1;calm;correct (right)
1;1;1;calm;write
1;1;1;calm;study
1;1;1;calm;cease
1;1;1;calm;be dead or die
2;1;1;calm;trough
2;2;2;calm;slow
1;1;1;calm;wave
2;1;2;calm;flat
1;1;1;calm;easy
1;1;1;calm;obscure
1;1;1;calm;long
12;7;12;calm;quiet
1;1;1;calm;come
1;1;1;calm;rest
2;2;2;rough (of sea);mad
1;1;1;rough (of sea);sea
10;9;10;rough (of sea);wave
13;4;13;rough (of sea);rough
1;1;1;rough (of sea);storm
2;2;2;rough (of sea);difficult
1;1;1;rough (of sea);swamp
1;1;1;rough (of sea);wrap
1;1;1;rough (of sea);cold
1;1;1;rough (of sea);sound or noise
2;2;2;rough (of sea);anger
1;1;1;rough (of sea);eight
1;1;1;rough (of sea);blanket
3;1;3;rough (of sea);mighty or powerful or strong
1;1;1;rough (of sea);fast
1;1;1;rough (of sea);full
1;1;1;rough (of sea);bright
1;1;1;rough (of sea);hot
1;1;1;rough (of sea);wet
1;1;1;rough (of sea);shake
1;1;1;rough (of sea);bad
1;1;1;rough (of sea);shut
1;1;1;rough (of sea);copper
2;1;2;bay;island
6;5;6;bay;lagoon
1;1;1;bay;root
1;1;1;bay;pregnant
1;1;1;bay;throat
5;3;5;bay;port
1;1;1;bay;wave
2;1;2;bay;breast
1;1;1;bay;ditch
1;1;1;bay;board
1;1;1;bay;sit
1;1;1;bay;wood
1;1;1;bay;sea
1;1;1;bay;ocean
1;1;1;bay;forehead
1;1;1;bay;eat
1;1;1;bay;mighty or powerful or strong
1;1;1;bay;pitchfork
1;1;1;bay;shoot
1;1;1;bay;build
1;1;1;bay;do or make
1;1;1;bay;work (labour)
1;1;1;bay;sew
1;1;1;bay;corner
1;1;1;bay;want
1;1;1;bay;love
1;1;1;bay;daughter
1;1;1;bay;branch or twig
1;1;1;bay;go out
1;1;1;bay;dream (something)
1;1;1;bay;elbow
1;1;1;bay;shore
1;1;1;bay;take
1;1;1;bay;thing
1;1;1;bay;edge
2;1;2;bay;armpit
2;2;2;bay;lake
1;1;1;bay;whirlpool
3;3;3;bay;cape
