WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
15;10;14;arrive;approach;6,41;5;6,84;5,45;4,48;6,03
20;6;19;arrive;get;6,41;5;6,84;6,09;3,67;5,65
5;5;5;arrive;land (descend);6,41;5;6,84;6,61;3,05;5,94
4;4;4;arrive;find;6,41;5;6,84;6,45;3,52;6,24
4;4;4;arrive;meet;6,41;5;6,84;6,09;3,71;5,89
4;4;4;arrive;understand;6,41;5;6,84;6,68;3,52;6,71
5;4;5;arrive;become;6,41;5;6,84;6,32;3,43;6,18
3;3;3;enter;embrace;6,09;4,3;6,79;7;5,82;6,58
3;3;3;enter;dive;6,09;4,3;6,79;5,81;3,79;5,75
3;3;3;enter;put;6,09;4,3;6,79;5,09;3,86;5,94
3;3;3;enter;father;6,09;4,3;6,79;6,88;3,68;5,19
3;3;3;enter;crawl or creep;6,09;4,3;6,79;3,45;4,2;4,79
14;9;13;enter;set (heavenly bodies);6,09;4,3;6,79;5,23;3,1;5,81
18;5;18;carry;get;5,67;3,47;4,94;6,09;3,67;5,65
6;4;6;carry;give;5,67;3,47;4,94;7,73;4,57;5,72
57;15;56;carry;bring;5,67;3,47;4,94;5,68;4,29;5,72
34;7;34;carry;lead (guide);5,67;3,47;4,94;5,56;3,95;5,22
7;3;7;carry;send;5,67;3,47;4,94;6,18;3,43;5,94
7;6;7;carry;drive;5,67;3,47;4,94;6,5;4,19;5,67
13;7;13;carry;hold;5,67;3,47;4,94;6,05;4,86;5,67
54;16;54;carry;take;5,67;3,47;4,94;4,82;4,52;4,83
3;3;3;carry;choose;5,67;3,47;4,94;6;3,6;6,83
6;4;6;carry;hear;5,67;3,47;4,94;6,68;3,62;6,71
3;3;3;carry;dwell (live, reside);5,67;3,47;4,94;4,75;3,14;5,3
3;3;3;carry;put;5,67;3,47;4,94;5,09;3,86;5,94
10;5;10;carry;seize;5,67;3,47;4,94;3,79;4,06;5,18
4;4;4;carry;borrow;5,67;3,47;4,94;5,18;4,55;6,16
14;3;14;carry;buy;5,67;3,47;4,94;6,82;4,29;6,78
4;3;4;carry;catch;5,67;3,47;4,94;5,64;4;5,47
4;3;4;carry;drag;5,67;3,47;4,94;3,68;4,81;5,52
19;11;17;bring;take;5,68;4,29;5,72;4,82;4,52;4,83
14;5;9;bring;lead (guide);5,68;4,29;5,72;5,56;3,95;5,22
13;5;11;bring;give;5,68;4,29;5,72;7,73;4,57;5,72
4;3;4;bring;send;5,68;4,29;5,72;6,18;3,43;5,94
3;3;3;bring;seize;5,68;4,29;5,72;3,79;4,06;5,18
4;4;4;bring;hold;5,68;4,29;5,72;6,05;4,86;5,67
9;4;9;bring;get;5,68;4,29;5,72;6,09;3,67;5,65
4;3;4;bring;catch;5,68;4,29;5,72;5,64;4;5,47
4;4;4;bring;drive;5,68;4,29;5,72;6,5;4,19;5,67
7;4;7;send;allow or permit;6,18;3,43;5,94;5,26;3,76;4,68
6;4;6;send;lead (guide);6,18;3,43;5,94;5,56;3,95;5,22
31;18;26;send;command;6,18;3,43;5,94;4,19;4,65;7,21
4;4;4;send;put;6,18;3,43;5,94;5,09;3,86;5,94
8;4;8;send;drive;6,18;3,43;5,94;6,5;4,19;5,67
3;3;3;send;take;6,18;3,43;5,94;4,82;4,52;4,83
